"state","code","category","coverage","totalPremium","totalLoss"
"Michigan","21","Physical Damage","Physical Damage -- Other Than Collision - Additional Coverage Records",5,0
"North Carolina","32","Physical Damage","Physical Damage -- Other Than Collision",0,0
"Missouri","24","Liability","Bodily Injury Liability",0,0
"Arizona","02","Liability","Bodily Injury Liability",447,0
"Missouri","24","Liability","Property Damage Liability",0,0
"South Carolina","39","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"New Mexico","30","Physical Damage","Physical Damage -- Collision",0,0
"New Jersey","29","Liability","Bodily Injury Liability",0,0
"Florida","09","Liability","Property Damage Liability",63,0
"Minnesota","22","Liability","Bodily Injury Liability",0,0
"Oklahoma","35","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"Washington","46","Liability","Personal Injury Protection",192,0
"New Jersey","29","Physical Damage","Physical Damage -- Other Than Collision",39,0
"Georgia","10","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"Michigan","21","Liability","Bodily Injury Liability",70,0
"Nevada","27","Liability","Medical Payments",87,0
"West Virginia","47","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"Pennsylvania","37","Liability","Property Damage Liability",240,0
"Arizona","02","Physical Damage","Physical Damage -- Other Than Collision",28,0
"Wisconsin","48","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"Dist. of Columbia","08","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"Indiana","13","Physical Damage","Physical Damage -- Collision",0,0
"Georgia","10","Liability","Bodily Injury Liability",121,0
"Utah","43","Liability","Bodily Injury Liability",68,0
"South Carolina","39","Physical Damage","Physical Damage -- Collision",351,0
"Louisiana","17","Physical Damage","Physical Damage -- Other Than Collision",171,0
"Kansas","15","Liability","Personal Injury Protection",2,0
"Mississippi","23","Liability","Uninsured Motorist",52,0
"Idaho","11","Liability","Underinsured Motorist",9,0
"Vermont","44","Physical Damage","Physical Damage -- Other Than Collision",139,0
"Washington","46","Liability","Property Damage Liability",86,0
"Indiana","13","Liability","Underinsured Motorist",6,0
"Oklahoma","35","Physical Damage","Physical Damage -- Collision",28,0
"Washington","46","Physical Damage","Physical Damage -- Other Than Collision - Additional Coverage Records",12,0
"Connecticut","06","Liability","Uninsured/Underinsured Moderists -- Indivisible Premium",119,0
"Arkansas","03","Physical Damage","Physical Damage -- Collision",0,0
"Kentucky","16","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
"California","04","Liability","Bodily Injury and Property Damage Liability —- Indivisible Premium",0,0
